J3;;1X04_1MM_RA;57.500;64.000;90.0;TOP;SMD
J4;;1X04_1MM_RA;57.500;55.000;90.0;TOP;SMD
J1;;USB-C-16P;31.250;97.000;180.0;TOP;SMD
D12;;WL-SFCX_1210;57.000;19.500;270.0;TOP;SMD
R16;100R;R0603;12.750;39.500;90.0;TOP;SMD
R18;100R;R0603;18.250;39.500;90.0;TOP;SMD
R20;100R;R0603;23.750;39.500;90.0;TOP;SMD
R22;100R;R0603;29.250;39.500;90.0;TOP;SMD
R24;100R;R0603;34.750;39.500;90.0;TOP;SMD
R26;100R;R0603;40.250;39.500;90.0;TOP;SMD
R28;100R;R0603;45.750;39.500;90.0;TOP;SMD
R30;100R;R0603;51.250;39.500;90.0;TOP;SMD
C3;100n;C0603;37.250;90.500;0.0;TOP;SMD
C4;100n;C0603;31.250;86.500;180.0;TOP;SMD
C5;100n;C0603;35.419;27.919;135.0;TOP;SMD
C6;100n;C0603;25.166;20.495;315.0;TOP;SMD
C7;100n;C0603;34.712;18.373;45.0;TOP;SMD
C8;100n;C0603;5.000;8.000;0.0;TOP;SMD
C9;100n;C0603;16.500;8.000;0.0;TOP;SMD
C10;100n;C0603;28.000;8.000;0.0;TOP;SMD
C11;100n;C0603;39.500;8.000;0.0;TOP;SMD
C12;100n;C0603;51.000;8.000;0.0;TOP;SMD
C13;100n;C0603;62.500;8.000;0.0;TOP;SMD
C14;100n;C0603;74.000;8.000;0.0;TOP;SMD
C15;100n;C0603;85.500;8.000;0.0;TOP;SMD
R15;10k;R0603;11.250;39.500;270.0;TOP;SMD
R17;10k;R0603;16.750;39.500;270.0;TOP;SMD
R19;10k;R0603;22.250;39.500;270.0;TOP;SMD
R21;10k;R0603;27.750;39.500;270.0;TOP;SMD
R23;10k;R0603;33.250;39.500;270.0;TOP;SMD
R25;10k;R0603;38.750;39.500;270.0;TOP;SMD
R27;10k;R0603;44.250;39.500;270.0;TOP;SMD
R29;10k;R0603;49.750;39.500;270.0;TOP;SMD
R1;1k;R0603;22.000;95.750;90.0;TOP;SMD
R4;1k;R0603;23.500;88.750;0.0;TOP;SMD
R5;1k;R0603;37.250;88.000;0.0;TOP;SMD
R6;1k;R0603;23.500;87.250;0.0;TOP;SMD
R7;1k;R0603;14.500;42.250;90.0;TOP;SMD
R8;1k;R0603;20.000;42.250;90.0;TOP;SMD
R9;1k;R0603;25.500;42.250;90.0;TOP;SMD
R10;1k;R0603;31.000;42.250;90.0;TOP;SMD
R11;1k;R0603;36.500;42.250;90.0;TOP;SMD
R12;1k;R0603;42.000;42.250;90.0;TOP;SMD
R13;1k;R0603;47.500;42.250;90.0;TOP;SMD
R14;1k;R0603;53.000;42.250;90.0;TOP;SMD
R31;1k;R0603;53.000;21.000;0.0;TOP;SMD
R32;1k;R0603;53.000;19.500;0.0;TOP;SMD
R33;1k;R0603;53.000;18.000;0.0;TOP;SMD
C1;22u;C0805;39.250;94.750;90.0;TOP;SMD
C2;22u;C0805;41.250;94.750;90.0;TOP;SMD
R2;5.1k;R0603;23.500;95.750;270.0;TOP;SMD
R3;5.1k;R0603;25.000;95.750;270.0;TOP;SMD
U2;ATMEGA4809;TQFP48;31.000;23.500;315.0;TOP;SMD
U1;CH340E_MSOP10;MSOP10;31.250;89.000;0.0;TOP;SMD
Q1;DMN3404L;SOT23;12.750;35.000;0.0;TOP;SMD
Q2;DMN3404L;SOT23;18.250;35.000;0.0;TOP;SMD
Q3;DMN3404L;SOT23;23.750;35.000;0.0;TOP;SMD
Q4;DMN3404L;SOT23;29.250;35.000;0.0;TOP;SMD
Q5;DMN3404L;SOT23;34.750;35.000;0.0;TOP;SMD
Q6;DMN3404L;SOT23;40.250;35.000;0.0;TOP;SMD
Q7;DMN3404L;SOT23;45.750;35.000;0.0;TOP;SMD
Q8;DMN3404L;SOT23;51.250;35.000;0.0;TOP;SMD
D1;LED_YELLOW;LEDC1608X55N_FLAT-Y;20.250;95.750;90.0;TOP;SMD
D2;LED_YELLOW;LEDC1608X55N_FLAT-Y;37.250;86.250;0.0;TOP;SMD
D4;LED_YELLOW;LEDC1608X55N_FLAT-Y;14.500;39.500;90.0;TOP;SMD
D5;LED_YELLOW;LEDC1608X55N_FLAT-Y;20.000;39.500;90.0;TOP;SMD
D6;LED_YELLOW;LEDC1608X55N_FLAT-Y;25.500;39.500;90.0;TOP;SMD
D7;LED_YELLOW;LEDC1608X55N_FLAT-Y;31.000;39.500;90.0;TOP;SMD
D8;LED_YELLOW;LEDC1608X55N_FLAT-Y;36.500;39.500;90.0;TOP;SMD
D9;LED_YELLOW;LEDC1608X55N_FLAT-Y;42.000;39.500;90.0;TOP;SMD
D10;LED_YELLOW;LEDC1608X55N_FLAT-Y;47.500;39.500;90.0;TOP;SMD
